Date, Open, High, Low, Close, Volume
12/28/22, 206.68, 208.53, 204.80, 204.99, 3139186
12/27/22, 205.92, 206.88, 204.60, 206.29, 2904905
12/23/22, 204.13, 206.24, 203.5154, 205.83, 3246162
12/22/22, 205.75, 206.65, 202.13, 205.06, 5690926
12/21/22, 206.57, 207.96, 205.58, 206.81, 4086940
12/20/22, 203.88, 206.53, 203.55, 205.36, 5024855
12/19/22, 206.63, 207.47, 203.95, 204.82, 4893648
12/16/22, 207.49, 208.404, 205.30, 206.89, 12473050
12/15/22, 209.60, 211.82, 206.82, 207.91, 10833160
12/14/22, 212.85, 216.2835, 211.63, 213.32, 7001704
12/13/22, 219.54, 219.98, 212.62, 213.04, 14585020
12/12/22, 210.00, 214.815, 209.47, 214.59, 5941732
12/09/22, 207.91, 210.52, 207.52, 208.70, 4928579
12/08/22, 209.51, 210.30, 207.75, 209.10, 4896614
12/07/22, 208.80, 209.0153, 205.13, 207.81, 7923847
12/06/22, 212.00, 212.13, 207.64, 209.08, 5985961
12/05/22, 215.65, 216.9099, 213.05, 213.68, 9006308
12/02/22, 215.73, 218.48, 214.235, 217.66, 5132837
12/01/22, 217.00, 218.65, 215.30, 217.00, 11261550
11/30/22, 208.22, 217.00, 208.01, 217.00, 13918130
11/29/22, 209.35, 210.154, 207.346, 209.06, 8986852
11/28/22, 212.26, 214.47, 210.65, 211.26, 10229680
11/25/22, 211.71, 214.00, 211.385, 213.79, 1993541
11/23/22, 210.00, 212.83, 209.915, 211.73, 3807338
11/22/22, 207.54, 210.48, 205.35, 210.33, 5273142
11/21/22, 210.30, 210.55, 205.89, 206.32, 10450940
11/18/22, 213.17, 214.17, 209.74, 210.80, 8028541
11/17/22, 207.96, 211.28, 207.3243, 210.99, 5386197
11/16/22, 208.58, 210.89, 208.22, 210.14, 6125300
11/15/22, 209.99, 213.73, 207.51, 209.99, 7316129
11/14/22, 203.50, 209.1664, 203.21, 206.86, 5796113
11/11/22, 206.00, 206.425, 202.15, 205.00, 9601019
11/10/22, 203.09, 205.76, 200.02, 205.57, 8048860
11/09/22, 200.70, 201.33, 193.325, 193.93, 7320221
11/08/22, 201.66, 204.12, 199.74, 201.78, 6943708
11/07/22, 198.32, 200.44, 197.17, 200.10, 7821258
11/04/22, 197.00, 201.45, 195.34, 196.98, 9680124
11/03/22, 198.28, 198.85, 194.18, 194.75, 8236227
11/02/22, 205.76, 207.00, 200.58, 200.95, 6987791
11/01/22, 208.91, 209.97, 205.33, 206.93, 5919513
10/31/22, 208.92, 209.62, 206.20, 207.16, 8674102
10/28/22, 205.00, 211.5186, 203.31, 209.34, 8455603
10/27/22, 203.32, 206.32, 201.59, 204.29, 7946686
10/26/22, 196.58, 206.365, 196.50, 203.33, 15453130
10/25/22, 190.87, 195.23, 190.72, 194.38, 11907240
10/24/22, 191.41, 193.13, 189.10, 190.71, 7299213
10/21/22, 185.80, 190.95, 185.05, 190.37, 7582542
10/20/22, 186.46, 190.98, 186.43, 187.22, 5706843
10/19/22, 185.49, 187.64, 184.755, 186.41, 4927019
10/18/22, 189.49, 190.19, 185.74, 187.17, 5209168
10/17/22, 186.00, 188.57, 182.85, 185.25, 13952080
10/14/22, 186.79, 187.13, 182.07, 182.62, 6451219
10/13/22, 175.00, 185.37, 174.60, 184.66, 8426365
10/12/22, 179.09, 180.59, 178.22, 178.24, 4884685
10/11/22, 180.37, 181.64, 178.19, 179.14, 6294466
10/10/22, 184.13, 184.78, 180.90, 182.18, 4743798
10/07/22, 183.45, 184.61, 181.93, 183.83, 5610282
10/06/22, 186.65, 188.05, 185.25, 185.59, 5163043
10/05/22, 183.34, 188.82, 182.36, 187.67, 6119876
10/04/22, 185.05, 186.2125, 183.07, 185.65, 7081350
10/03/22, 179.34, 183.36, 178.15, 181.65, 8842330
09/30/22, 180.06, 182.92, 177.595, 177.65, 9472265
09/29/22, 178.83, 182.24, 178.725, 180.06, 9105169
09/28/22, 177.26, 180.10, 174.83, 179.18, 9750959
09/27/22, 182.51, 184.85, 177.0208, 177.87, 9799633
09/26/22, 183.04, 184.50, 179.90, 180.59, 9914638
09/23/22, 183.47, 184.58, 182.23, 183.96, 10755790
09/22/22, 186.35, 187.21, 184.66, 185.79, 6604711
09/21/22, 192.53, 193.09, 187.00, 187.02, 6705947
09/20/22, 191.10, 193.03, 190.29, 192.07, 5292529
09/19/22, 191.59, 193.99, 190.71, 193.13, 8133561
09/16/22, 190.22, 193.82, 188.22, 193.30, 9398242
09/15/22, 198.09, 200.31, 194.53, 195.37, 6099262
09/14/22, 200.00, 200.88, 198.06, 199.41, 4632813
09/13/22, 202.05, 203.47, 198.87, 199.67, 5217877
09/12/22, 206.50, 207.19, 204.95, 206.63, 3812287
09/09/22, 202.07, 206.3953, 201.35, 205.20, 4886179
09/08/22, 197.40, 201.11, 196.96, 200.71, 4377815
09/07/22, 198.71, 201.135, 197.22, 200.42, 4098289
09/06/22, 197.90, 200.04, 196.40, 198.64, 4548007
09/02/22, 202.44, 202.48, 196.85, 197.76, 4508486
09/01/22, 198.72, 200.43, 196.66, 200.13, 5608324
08/31/22, 201.00, 203.165, 198.64, 198.71, 6559042
08/30/22, 203.92, 204.41, 200.21, 201.38, 3918150
08/29/22, 201.25, 203.96, 200.62, 202.33, 4476401
08/26/22, 209.77, 210.2599, 202.70, 202.89, 5060213
08/25/22, 207.39, 209.91, 206.50, 209.82, 4495041
08/24/22, 206.63, 208.35, 205.675, 206.67, 4230836
08/23/22, 208.00, 209.30, 206.53, 206.80, 3525495
08/22/22, 209.94, 211.25, 208.20, 208.61, 5139544
08/19/22, 214.11, 215.23, 212.39, 212.82, 4178804
08/18/22, 213.87, 216.00, 212.43, 215.25, 4516632
08/17/22, 215.00, 216.18, 212.75, 214.52, 4902450
08/16/22, 214.55, 217.61, 212.13, 217.14, 6564448
